FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED_STATUS,CANCELLED_STATUS,DIVERTED_STATUS
12/1/2019 0:00,LAX,ABQ,-7,-21,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,-6,-23,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,-5,-18,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,-5,-6,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,-1,-7,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,0,-1,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,6,-3,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ABQ,10,3,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,ABQ,10,4,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,ABQ,24,8,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,ACV,2,-23,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ACV,146,127,0,,0,117,0,0,0,10,YES,NO,NO
12/1/2019 0:00,LAX,ANC,0,-9,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ASE,0,-24,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-10,-48,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-10,17,0,,0,0,0,17,0,0,YES,NO,NO
12/1/2019 0:00,LAX,ATL,-3,-37,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-2,-33,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-2,-32,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-2,-29,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-2,-25,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,-1,-21,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,0,8,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,ATL,4,-20,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,4,-18,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,5,-18,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,8,-25,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,15,0,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,19,-11,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,20,-3,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,20,9,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,ATL,24,-7,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,ATL,25,2,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,AUS,-6,-24,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,-3,-11,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,-2,-13,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,0,-12,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,0,-2,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,2,-12,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,AUS,10,7,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,AUS,13,12,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,AUS,17,17,0,,0,0,0,3,0,14,YES,NO,NO
12/1/2019 0:00,LAX,AUS,30,21,0,,0,4,0,0,0,17,YES,NO,NO
12/1/2019 0:00,LAX,AUS,33,5,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,AUS,35,27,0,,0,6,0,0,0,21,YES,NO,NO
12/1/2019 0:00,LAX,BDL,22,27,0,,0,1,0,5,0,21,YES,NO,NO
12/1/2019 0:00,LAX,BNA,-1,-23,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BNA,0,-25,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BNA,3,-21,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BNA,9,-11,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BNA,13,-4,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BNA,42,15,0,,0,0,0,0,0,15,YES,NO,NO
12/1/2019 0:00,LAX,BNA,52,45,0,,0,0,0,16,0,29,YES,NO,NO
12/1/2019 0:00,LAX,BNA,119,83,0,,0,83,0,0,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOI,-8,-23,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOI,-3,-25,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOI,-1,-11,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOI,161,145,0,,0,0,0,0,0,145,YES,NO,NO
12/1/2019 0:00,LAX,BOS,-10,-8,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOS,-9,47,0,,0,0,0,47,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,-6,1,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,BOS,-6,39,0,,0,0,0,39,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,-5,-10,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOS,-3,0,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOS,-2,-30,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BOS,-2,10,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,BOS,-1,17,0,,0,0,0,17,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,0,1,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,BOS,0,16,0,,0,0,0,16,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,24,4,0,,0,,,,,,YES,NO,NO
12/1/2019 0:00,LAX,BOS,45,47,0,,0,0,0,47,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,79,92,0,,0,39,0,53,0,0,YES,NO,NO
12/1/2019 0:00,LAX,BOS,84,77,0,,0,0,0,6,0,71,YES,NO,NO
12/1/2019 0:00,LAX,BOS,99,94,0,,0,9,0,0,0,85,YES,NO,NO
12/1/2019 0:00,LAX,BUF,51,50,0,,0,0,0,0,0,50,YES,NO,NO
12/1/2019 0:00,LAX,BWI,-7,-29,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BWI,-3,-18,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BWI,-2,-27,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BWI,-2,-25,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BWI,-1,0,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BWI,1,-1,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,BZN,-4,-33,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,CLE,-4,-6,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,CLE,-3,-13,0,,0,,,,,,NO,NO,NO
12/1/2019 0:00,LAX,CLT,,,1,A,0,,,,,,NO,YES,NO
12/1/2019 0:00,LAX,CLT,-4,-45,0,,0,,,,,,NO,NO,NO
